English,Arabic,Description
Financial adviser,مستشار مالي (في المالية),في بريطانيا يعني الصطلح شركة أو مصرف تجاري يهتم برعاية مصالح الشركات وحملة الأسهم فيها سيما في الشركات التي تشترى بكاملها بعملية تدعى takeover. وفي الولايات المتحدة، فإن العبارة تعني المستشار المهني الذي يقدم المشورة المالية، إن بعض المستشارين الماليين يستوفون أجورهم مقطوعة إضافة إلى عمولة، والآخرون يتقاضون مبالغ مقطوعة ولا يقبلون العمولة . كما أن قسماً منهم يعمل مستشاراً مالياًعاماً (في جميع الحقول المالية) والآخرون يختصون يحقول معينة مثل: الاستثمار، التأمين، تخطيط الاستثمار في العقارات، الضرائب، البورصات، وحقول أخرى
Financial advisor,المستشار المالي,هو الذى يقوم بتقديم الاستشارات المالية لآى طرف آخر نتيجة أتعاب معينة ، كما أنه قد يكون منشأة مالية، أو مصرفية كما فى حالة البنوك التجارية حال تقديمها استشارتها للثركات الراغبة فى الاستحواذ والدمج.
Financial analysis,التحليل المالي,عبارة عن استخدام وتحويل المعلومات المالية إلى شكل يتيح استخدامها لمراقبة وتقييم الوضع المالي للمنشأة ولتخطيط التمويل المستقبلي لها ولتحديد حجم النشاط ومعدل نموها
Financial cost,التكلفة المالية (في المحاسبة),هي المبالغ النقدية الحقيقية المنفقة على عناصر الإنتاج المستخدمة لإنتاج كميات معينة من منتوج معين
Financial crisis,الأزمة المالية,هي الأزمة التي تعصف بالأسعار وتهدد الاقتصاد - كما حدث في أزمة عام 1929، ما يعرف بأزمة الكساد العظيم، والأزمة المالية الحالية في سنة 2008 وما تلاها
Financial institution,مؤسسة مالية,"مؤسسة مالية، هي المؤسسة التى تتولى جمع المدخرات من العامة ووضعها فى استثمارات أوراق مالية أو غيرها من الأصول المالية """
Financial instruments,الأدوات المالية,هى عبارة عن أصول أو مئتجات مالية يتم الاستثمار فيها قد تكون أسهم ، سئدات ، عقارات ، خيارات ، على أصل الحصول منها على عائد أو مكاسب رأسمالية فى المستقبل المنظور
Financial intermediary,الوساطة المالية,نشاط على المستوى المؤسسي يضم بنوك تجارية، وشركات، وبنوك ادخار وغيرها من بيوت التمويل ويضم أيضا شركات الوساطة المالية في مجال الأوراق المالية
Financial investment,استثمار مالي,"عملية توظيف المال في أدوات طلب الثروة المالية (الأسهم، والسندات وغيرها) أكثر مما يعني الاستثمار في الثروة 
نفسها (الموجودات الحقيقية)، ويدعى كذلك الاستثمار الشخصي 
personal investment"
Financial market,السوق المالية,السوق التي تباع وتشترى فيها رؤوس الأموال والإئتمان في الإقتصاد، فسوق النقد يجري فيه التعامل بأدوات الدين قصيرة الأجل، وأسواق رأس المال تتعامل بأدوات الدين وحقوق الملكية طويلة الأجل، ومن أمثلة الأسواق المالية: سوق الأسهم، سوق السندات، سوق السلع والبضائع، سوق النقد (الأجنبي والمحلي)
Financial Markets,أسواق المال,تعرف أسواق المال بأنها تلك الأسواق المعنية بتسهيل طرح وتداول (بيع وشراء) الأوراق المالية وأدوات الدين بمختلف أنواعها، مثل الأسهم والسندات والصكوك طويلة وقصيرة الأجل، والمشتقات المالية، وقد يمتد هذا التعريف ليشمل أيضا أسواق السلع والمعادن الثمينة وأسواق صرف العملات. وعادة ما تنقسدم أسواق المال إلى ثلاثة أسواق رئيسية وهى: أسواق رأس المال، أسواق المشتقات المالية، أسواق النقد.
Financial modeling,نماذج لخطط ومسارات اتخاذ القرار المالي,بناء وإعداد نماذج لخطط ومسارات اتخاذ القرار المالي بناء على البيانات والمعلومات المالية المزودة رفقة هذه النماذج
Financial ratios,النسب المالية,تستخدم لاستخراج مؤشرات للعلاقة الرياضية بين كمية معينة وكمية أخرى، وهناك عدة أنواع من النسب مثل تلك التي تقيم السيولة في المنشأة، قدرة المنشأة على تسديد ديونها، العائد على الاستثمار، الأداء التشغيلي، استغلال الأصول، قياسات السوق
Financial Regulations,نظم ولوائح مالية,نظم ولوائح مالية
Financial reporting standards (FRS),مواصفات واشتراطات التقارير المالية,هى المواصفات الصادرة عن مجلس الموصفات المحاسبية وأى مواصفات أوإشتراطات أخرى يصدرها المجلس ، وقد توسع نطاقها حاليا حتى اصيح صن الضرورة التمشى بموجبها على تطاق واسع تحت مسمى IFRS
Financial Solvency,الملائة الائتمانية,"قدرة الشخص ""اطبيعيا كان أم اعتبارياً"" على الوفاء بكافة التزاماته المالية قصيرة وطويلة الأجل، وأيضأ قدرته على تجنب مخاطر التعثر المالي التي قد يتعرض لها نتيجة لتغير الظروف الاقتصادية المؤثرة على نماذج أعماله. وتعد الملاءة الائتمانية من أهم المعايير المستخدمة من قبل المقرضين في حال الرغبة في الحصول على التمويل"
Financial Statement,بيان مالي (قائمة مالية),تقرير يحتوي على المعلومات المالية لمنشأة ما. إن البيانات المالية الأساسية المطلوبة من منشأة تعمل على أساس تجاري هي: الميزانية العامة، بيان الأرباح والخسائر، بيان التغيرات في المركز المالي، ويمكن إضافة بيانات مالية ملحقة لوصف الحالة المالية أو أداء المنشأة.
