
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Fit Width,Remplir en largeur,Breite einpassen,لائم العرض
Fixed,Fixe,Fest,ثابت
Flip Vertically,Retourner verticalement,Vertikal spiegeln,عامودي
Flip Horizontally,Retourner horizontalement,Horizontal spiegeln,قلب أفقي
Font,Police,Schrift,الخط
Font Name %s,,,اسم الخط
Font Size,,,حجم الخط
Font Size %f,,,حجم الخط
Font style:,,,أسلوب الخط
Font:,,,الخط:
Footer:,Pied de page :,Fußzeilen:,التذييل:
Foreground,Premier plan,Vordergrund,الأمامي
Foreground Solid,Premier plan uni,Einfarbiger Vordergrund,لون الواجهة الأمامية
Format,Format,Format,التهيئة
Format Cells,Format des cellules,Zellen formatieren,نورمان والس
Format Object,Formater l'objet,Objekt formatieren,هيء إلى
Format Selector,Formater le sélecteur,Formatwähler,هيء إلى
Format Toolbar,Barre d'outils « format »,Formatierungswerkzeugleiste,شريط الأدوات
Format as Accounting,Appliquer le format comptable,Als buchhalterisch formatieren,تنسيق
Format as Currency,Appliquer le format financier,Als Geld formatieren,هيِّء %1 كـ %2
Format as Date,Appliquer le format date,Als Datum formatieren,هيِّء %1 كـ %2
Format as General,Appliquer le format général,Als Standard formatieren,هيِّء %1 كـ %2
Format as Number,Appliquer le format numérique,Als Zahl formatieren,رسم الأعداد
Format as Percentage,Appliquer le format pourcentage,Als Prozentwert formatieren,النسبة المئوية
Format as Time,Appliquer le format heure,Als Zeit formatieren,هيِّء %1 كـ %2
Format for constants,,,تنسيق
Format the selection as General,Applique le format général à la sélection,Auswahl als Standard formatieren,هيّء الحجم المنتقى
Format the selection as accounting,Applique le format comptable à la sélection,Die Auswahl als Abrechnung formatieren,هيّء الحجم المنتقى
Format the selection as currency,Applique le format financier à la sélection,Auswahl als Währung formatieren,هيّء الحجم المنتقى
Format the selection as date,Applique le format date à la sélection,Auswahl als Datum formatieren,هيّء الحجم المنتقى
Format the selection as numbers,Applique le format numérique à la sélection,Auswahl als Zahlen formatieren,هيّء الحجم المنتقى
Format the selection as percentage,Applique le format pourcentage à la sélection,Auswahl als Prozentwert formatieren,مستطيل الانتقاء
Format the selection as scientific,Applique le format scientifique à la sélection,Auswahl als wissenschaftlich formatieren,اضبطه إذا كان من الممكن أن يحتوي التحديد ملفات
Format the selection as time,Applique le format heure à la sélection,Auswahl als Zeit formatieren,هيّء الحجم المنتقى
Format toolbar position,Position de la barre d'outils « format »,Position der Formatierungswerkzeugleiste,شريط الأدوات مرئي
Format toolbar visible,Affichage de la barre d'outils « format »,Formatierungswerkzeugleiste sichtbar,شريط الأدوات مرئي
FormatToolbar,,,شريط الأدوات
Formula Guru,Assistant Formule,Formelassistent,معادلات
Formulæ,Formules,Formeln,التهيئة:
Fourier Analysis,Analyse de Fourier,Fourier-Analyse,للإستخدام الداخلي
Fourier Series,Séries de Fourier,Fourierreihen,أربعة جسور
Fourier Series (%s),Séries de Fourier (%s),Fourierreihen (%s),تجاهل نادل STUN (%s)
Fourier Transform,Transformée de Fourier,Fourier-Transformation,أربعة جسور
From line:,Depuis la ligne :,Von Zeile:,من:
Frame,Cadre,Rahmen,إطار
Frame Properties,Propriétés du cadre,Rahmeneigenschaften,خصائص الصفحة
Frank Chiulli,Frank Chiulli,Frank Chiulli,فرانكلين
Frequency Tables,Table des fréquences,Frequenztabellen,فرنسي
Frequency Tables...,Tables de fréquences...,Häufigkeitstabellen …,أنشطة مسلية مختلفة.
Freeze the top left of the sheet,Figer le coin en haut à gauche de la feuille,Den oberen linken Teil des Blattes einfrieren,انقل المجلد المفتوح للمهملات
Frequency Table,Table de fréquences,Häufigkeitstabelle,فرنسي
Frequency Table (%s),Table de fréquences (%s),Häufigkeitstabelle (%s),أنشطة مسلية مختلفة.
Frequency Tables,Table de fréquences,Frequenztabellen,فرنسي
Frequency tables for non-numeric data,Tables de fréquences pour les données non numériques,Häufigkeitstabellen für nicht-numerische Daten,يحوي الملف بيانات تالفة.
From,De,Von,من
Full History...,Historique complet...,Gesamte Chronik …,الرسم البياني
Function Wrapper,Magasin de fonctions,Funktionsumbruch,منتقي الأيقونات
Function Selector,Sélecteur de fonctions,Funktionswahl,منتقي الأيقونات
Function group is empty.,Groupe de fonctions vide.,Funktionsgruppe ist leer.,دالّة أس
Function implementation not available.,Implémentation de la fonction indisponible.,Funktionsimplementierung ist nicht verfügbar.,المعلومات غير متوفّرة
Function/Argument,Fonction/Paramètre,Funktion / Argument,دالة e^
Functions for complex numbers,Fonctions sur les nombres complexes,Funktionen für komplexe Zahlen,وصف الخط الذي سيستخدم لأرقام السّطور
Functions for manipulating strings,Fonctions de manipulation de chaînes,Funktionen zur Manipulation von Zeichenketten,تطبيقات لعرض الرسوم والتعامل معها
Functions for manipulating truth values,Fonctions sur les valeurs booléennes,Funktionen zur Manipulation von Wahrheitswerten,تطبيقات لعرض الرسوم والتعامل معها
Functions help,Aide des fonctions,Funktionshilfe,الوظيفة
Functions manipulating Hebrew dates,Fonctions de manipulation de dates dans le calendrier hébraïque,Funktionen zur Manipulation hebräischer Daten,تطبيقات لعرض الرسوم والتعامل معها
Further information:,Informations complémentaires :,Weiterführende Informationen:,معلومات المستخدم
GNOME-DB,GNOME-DB,GNOME-DB,جنوم
GTKPrintSetting,GTKPrintSetting,GTKPrintSetting,تعيينات الطبع
Gamma,Gamma,Gamma,جاما
Gaussian Tail,Queue gaussienne,Gauß'scher Tail,بلاروسي (لاتيني)
General,Général,Allgemein,عامّ
General ODF error,Erreur ODF générale,Allgemeiner ODF-Fehler,خطأ داخلي
General SC import error,Erreur générale d'importation SC,Allgemeiner SC Importfehler,خطأ داخلي
Generate new help and po files,,,وَلِّد ألغازاً جديدة
Geometric,Géométrique,Geometrisch,هندسة
Gergo Erdi,Gergo Erdi,Gergo Erdi,تكرار التحرير
Get External Data,,,البيانات الشخصية
Gnome Glossary,Glossaire de GNOME,GNOME Glossar,المَسْرَد
Gnumeric,Gnumeric,Gnumeric,7 رقمية
Gnumeric Function Help Browser,Navigateur d'aide des fonctions de Gnumeric,Hilfebrowser zu Gnumeric-Funktionen,معلومات عامة عادية
Gnumeric Options,Options de Gnumeric,Gnumeric Optionen,معلومات عامة عادية
Gnumeric Preferences,Préférences Gnumeric,Gnumeric-Einstellungen,خيارات جنوميتريس
Gnumeric Print Range,Plage d'impression Gnumeric,Gnumeric-Druckbereich,نطاق الطباعة
Gnumeric Python console,Console Python de Gnumeric,Gnumeric Python-Konsole,كونسول بيثون
Gnumeric Spreadsheet,Tableur Gnumeric,Gnumeric Tabellenkalkulation,نتائج جنوميتريس
Gnumeric Team,L'équipe Gnumeric,Gnumeric Team,اسم عام
Gnumeric is the result of,Gnumeric est le fruit des,Gnumeric ist das Ergebnis,فاصل رقمي
Gnumeric on the Web,Page Web de Gnumeric,Gnumeric im Internet,فاصل رقمي
Gnumeric: Validation,Gnumeric : Validation,Gnumeric: Überprüfung,معلومات عامة عادية
Go To...,Aller à...,Gehe zu …,إذهب إلى
Go to Bottom,Aller en bas,Nach unten gehen,الأعلى/الأسفل
Go to Cell...,Aller à la cellule...,Gehe zu Zelle …,اذهب الى السطر...
Go to the first data cell,Va à la première cellule de données,Zur ersten Datenzelle gehen,إنهاء المكالمة الحالية
GoalSeek,Solveur,Zielsuche,الهدف
Graph,Graphique,Diagramm,المجموعة:
Greater Than,Est supérieur à,Größer als,إنشاء
Green,Vert,Grün,أخضر
Group,Grouper,Gruppieren,المجموعة:
Group %d,Groupe %d,%d gruppieren,المجموعة:
Group columns %s,Grouper les colonnes %s,Die Spalten %s gruppieren,عمود الترميز
Grouped by:,Groupé par :,Gruppiert nach:,المجموعة:
Groups column:,Colonne de groupes :,Gruppenspalte:,عمود الترميز
Growth damping factor (&#x3B3;):,,,لون الرسم:
Guile support,Prise en charge de Guile,Guile-Unterstützung,غلفبورت
Gumbel (Type I),Gumbel (Type I),Gumbel (Typ I),نوع اللعبة
Gumbel (Type II),Gumbel (Type II),Gumbel (Typ II),نوع اللعبة
Height...,Hauteur...,Höhe …,رأس...
Header,En-tête,Kopf,ترويسات
Header/Footer,En-tête/Pied de page,Kopf-/Fußzeilen,التّرويسة/التذييل
Header/Footer Format (Left Portion),Mise en forme des en-têtes et pieds de page (partie de gauche),Kopf-/Fußzeilenformat (linker Anteil),وصف خط التّرويسة و التّذييل
Header/Footer Format (Middle Portion),Mise en forme des en-têtes et pieds de page (partie centrale),Kopf-/Fußzeilenformat (mittlerer Anteil),وصف خط التّرويسة و التّذييل
Header/Footer Format (Right Portion),Mise en forme des en-têtes et pieds de page (partie de droite),Kopf-/Fußzeilenformat (rechter Anteil),وصف خط التّرويسة و التّذييل
Header:,En-tête :,Kopfzeile:,ترويسات
Headers and Footers,En-têtes et pieds de pages,Kopf- und Fußzeilen,الترويسات و التذييلات:
Hebrew Date Functions,Fonctions de dates dans le calendrier hébraïque,Hebräische Datumsfunktionen,دالات التاريخ و الساعة
Height...,Hauteur...,Höhe …,رأس...
Height in points:,Hauteur en points :,Zeilenhöhe in Punkten:,وزن الظل (%)
Height: %.2f pts (%d pixels),,,الإرتفاع: بكسل واحد
Hide,Masquer,Verbergen,اخفي
Hide,Masquer,Verbergen,إخفاء
Hide Detail,Masquer le détail,Details verbergen,التفاصيل
Hide Column Headers,Masquer l'en-tête des colonnes,Spaltenköpfe verbergen,رأس العمود
Hide Gridlines,Masquer les lignes de grille,Gitterlinien verbergen,اخفِ التلميحات
Hide Row Headers,Masquer l'en-tête des lignes,Zeilenköpfe verbergen,ترويسة السطر
Hide columns,Masquer les colonnes,Spalten verbergen,أعمدة
Hide rows,Masquer les lignes,Zeilen verbergen,اخفي الملاحظات
Hide the selected columns,Masquer les colonnes sélectionnées,Markierte Spalten verbergen,اطرد الحجم المنتقى
Hide the selected rows,Masque les lignes sélectionnées,Markierte Zeilen verbergen,اعرض التذكير المنتقى
Histogram,Histogramme,Histogramm,الرسم البياني
Histogram (%s),Histogramme (%s),Histogramm (%s),الرسم البياني
Histogram chart,Histogramme,Histogrammdarstellung,الرسم البياني
Holt's trend corrected exponential smoothing,Tendance corrigée d'un lissage exponentiel de Holt,Exponentielle Glättung zweiter Ordnung nach Holt,لا يمكن انشاء المجلّد المرسل اليه: %s.
Horizontal Alignment,Alignement horizontal,Horizontale Ausrichtung,الترصيف الأفقي
Horizontal DPI,Résolution horizontale (PPP),DPI horizontal,أفقي
Horizontal Stripe,Rayures horizontales,Horizontale Streifen,مسطرة أفقيّة
HyperLink,Hyperlien,Verknüpfung,وصله
Hyperlink...,Hyperlien...,Verknüpfung …,وصله
ID,ID,Kennung,PID
IF:conditional expression,IF:expression conditionnelle,IF:Bedingungsausdruck,تعبير بحث غير سليم.
INFILE [OUTFILE],FICHIER-ENTRÉE [FICHIER-SORTIE],EINGABEADATEI [AUSGABEDATEI],ملف-الخط ملف-الخرج
INFILE...,INFILE...,EINGABEDATEI …,ملف...
INitial CApitals,MAjuscules INitiales,ANfangsbuchstaben,العنوان الأولي:
Ice,Glacé,Eis,جليد
Icons and Images,Icônes et images,Symbole und Bilder,حمل الصور
"If this checkbox is selected, column %i will be imported into Gnumeric.","Si cette case est cochée, la colonne %i sera importée dans Gnumeric.","Falls dieses Ankreuzfeld angewählt ist, wird die Spalte %i in Gnumeric importiert.",إذا فعّل هذا الخيار، سيُشمل الفعل في القائمة المنبثقة للصور.
"If this checkbox is selected, the width of the column will be adjusted to the longest entry.","Si cette case est cochée, la largeur de la colonne sera ajustée à celle de l'entrée la plus grande.","Falls dieses Ankreuzfeld angewählt ist, wird die Breite der Spalte an den längsten Eintrag angepasst.",إذا فعّل هذا الخيار، سيُشمل الفعل في القائمة المنبثقة للصور.
