English Term,Arabic Term,Arabic Description
Exploratory Data Analysis (EDA),تحليل البيانات الاستكشافي,المرحلة الأولية في تحليل البيانات لدراسة مجموعة البيانات وتلخيص خصائصها الرئيسة. ُيطلق عليها أيًضا استكشاف . البيانات. .
Exponential Distribution,توزيع أ ِّسي,توزيع احتمالي يقيس الوقت بين الأحداث. .
Extended Reality,واقع ممتد,دمج الذكاء الاصطناعي مع تقنية الواقع الافتراضي والُمَعَّزز والمختلط لإضافة إمكانات متقدمة. .
External Data,بيانات خارجية,البيانات المخزنة في مصادر خارجية. .
"Extract, Transform and Load )ETL(",استخراج وتحويل وتحميل,عملية جمع البيانات من مصادر مختلفة وتحويلها إلى صيغة مناسبة وتخزينها في مستودع مركزي. .
Extrapolation,تقدير استقرائي,عملية التنبؤ بقيمة المتغيرات خارج نطاق المشاهدات. .
F-Score )or F1-Score( (1,مقياس إف (أو مقياس إف,مقياس لدقة النموذج في التصنيف الثنائي عن طريق حساب المتوسط التوافقي للإحكام والاستدعاء. .
Face Recognition )or Facial Recognition(,َتعُّرف على الوجوه,نظام حاسب قادر على التعُّرف على شخص ما عن طريق صورة أو فيديو. .
Fairness Constraint,قيد الإنصاف,شرط أو مجموعة من الشروط لضمان أن لا ُتنِتج خوارزميات تعلم الآلة نتائج متحيزة أو تمييزية. .
Fairness Metric,مقياس الإنصاف,تعريف للإنصاف قابل للقياس. .
Fall-Out,سقوط,انظر المعدل الإيجابي الخاطئ. .()
False Negative (FN),تصنيف سلبي خاطئ,نتيجة تنبأ النموذج بأنها سلبية، في حين هي في الواقع إيجابية. .
False Negative Rate )FNR(,معدل سلبي خاطئ,نسبة الأمثلة الإيجابية الفعلية التي ُيتنبأ بأنها سلبية. وُيطلق عليها أيًضا معدل الخطأ.    . .
False Positive )FP(,تصنيف إيجابي خاطئ,نتيجة تنبأ النموذج بأنها إيجابية، في حين هي في الواقع سلبية. .
False Positive Rate )FPR(,معدل إيجابي خاطئ,نسبة الأمثلة السلبية الفعلية التي ُيتنبأ بأنها إيجابية. وُيطلق عليها أيًضا سقوط. .   .
Fast-and-Frugal Tree (FFT),شجرة سريعة ومقتصدة,شجرة قرار بسيطة ُتستخدم لمشكالت التصنيف ذات المعلومات المحدودة. .
Fault Tolerance,تحُّمل الخطأ,قدرة النظام على الاستمرار في أداء الوظيفة المطلوبة حتى مع وجود أخطاء. .
Feature,خاصية,صفة أو ميزة للبيانات يمكن استخدامها ُمدَخ ًال لعملية التنبؤ، وغالًبا ما ُتستخدم ُمراِدًفا لكلمة سمة.   . .
Feature Cross,خاصية ُمرَّكبة,خاصية مصطنعة ُتنشأ عن طريق ضرب خاصيتين أو أكثر. .
Feature Detector,كاشف الخصائص,انظر ُمر ِّشح. .
Feature Engineering,هندسة الخصائص,عملية اختيار وإنشاء خصائص مفيدة من البيانات الأولية لتدريب نموذج. .
Feature Extraction,استخراج الخصائص,عملية توليد أو اشتقاق متغيرات مفيدة وغير متكررة من البيانات الأولية لوصف خصائص الأشياء أو الكيانات. .
Feature Hashing,تهشير الخصائص,أسلوب لتحويل البيانات الفئوية الكثيرة الأبعاد إلى متجه عددي ثابت الحجم. وُيطلق عليه أيًضا حيلة التهشير.  . .
Feature Learning,تعُّلم الخصائص,مجموعة من الأساليب للعثور تلقائًّيا على التمثيالت المطلوبة الكتشاف الخصائص أو تصنيفها من البيانات الأولية. .
Feature Map,خريطة الخصائص,ناتج لتطبيق عملية الترشيح على البيانات الُمْدَخلة باستخدام ُمر ِّشح. وُيطلق عليه أيًضا خريطة التنشيط.    . .
Feature Normalization,تسوية الخصائص,طريقة لتغيير نطاق قيم خاصية إلى نطاق قياسي من القيم، عادًة من  إلى  أو من  إلى . .
Feature Scaling,مواءمة الخصائص,طريقة لتغيير نطاق قيم خاصية لمطابقة نطاق الخصائص الأخرى في مجموعة البيانات. .
Feature Selection,انتقاء الخصائص,عملية لتقليل الأبعاد التي تعمل بها النماذج عن طريق استبعاد الخصائص غير المهمة. .
Feature Set,مجموعة الخصائص,مجموعة من الخصائص التي يتدرب عليها نموذج تعُّلم الآلة. .
Feature Shift,تغُّير الخاصية,تغيير في توزيع الخصائص، وقد يؤثر على أداء النموذج. .
Feature Space,فضاء الخصائص,مجموعة من الخصائص ذات الصلة بميزات معينة لشيء، أو حدث قيد الدراسة. .
Feature Store,مخزن الخصائص,مستودع مركزي لتخزين الخصائص وإدارتها ومشاركتها. .
Feature Vector,ُمَّتجه الخصائص,مجموعة من قيم الخصائص التي ُتمِّثل عينة ُتَمرر إلى نموذج. .
Federated Learning,تعُّلم ُمَّتِحد,طريقة من ُطُرق تعُّلم الآلة الموَّزع ُتدِّرب النموذج في أجهزة متعددة ببيانات محلية للمحافظة على خصوصية البيانات. .
Feedback Loop,حلقة تغذية راجعة,حالة في تعُّلم الآلة تؤِّثر فيها تنبؤات النموذج على بيانات التدريب. .
Feedforward Neural Network,شبكة عصبية ذات تغذية أمامية,شبكة عصبية اصطناعية تنتقل فيها المعلومات دائًما في اتجاه واحد، من طبقة الُمْدَخلات إلى طبقة المخرجات. .
Few-Shot Learning,تعُّلم بأمثلة قليلة,طريقة لتعُّلم مصِّنفات فاعلة من عدد قليل من أمثلة التدريب. .
Few-Shot Prompting,أوامر بأمثلة قليلة,أسلوب لهندسة الأوامر ُيعطى فيه النموذج تعليمات وبعض الأمثلة لتوجيه استجاباته. .
Fine Tuning,ضبط دقيق,عملية تعديل ُمعاِمالت نموذج ُمدَّرب لتلبية متطلبات        ِ مشكلة جديدة. .
Flow-Based Chatbot,بوت محادثة مو َّجه,بوت محادثة قائم على قواعد، ويشتمل على تسلسل من محادثات ُمَعَّدة سابًقا. وُيطلق عليه أيًضا بوت محادثة قائم    . على قواعد، أو بوت محادثة قائم على كلمات مفتاحية. .
