%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
Dim everything outside selection,Obscurcir tout ce qui est en dehors de la sélection,Alles außerhalb der Auswahl abdunkeln,أخفت أي شيء خارج التحديد
Direction,Direction,Richtung,الاتجاه
Direction  (%s),Sens (%s),Richtung (%s),الاتجاه (%s)
Direction of flipping,Sens du retournement,Richtung des Spiegelns,اتجاه القلب
Direction of magnification,Sens de l’agrandissement,Richtung der Vergrößerung,اتجاه التكبير
Direction of transformation,Sens de transformation,Transformationsrichtung,اتجاه التحويل
Disable Layer Mask,Désactiver le masque de calque,,عطّل قناع الطبقة
Disable Quick Mask,Désactiver le masque rapide,Schnellmaske deaktivieren,عطّل القناع السريع
Disable brush reflection,Désactiver la réflexion de la brosse,Pinselspiegelung deaktivieren,احفظ التحديد
Disable brush transform,Désactiver la transformation de la brosse,Pinseltransformation deaktivieren,تحويل القفص
Discard Text Information,Abandonner le texte d’information,Textinformationen verwerfen,تجاهل معلومات النص
Discard invisible layers,Écarter les calques invisibles,Unsichtbare Ebenen verwerfen,تجاهل الطبقات غير المرئية
Dismiss the effect of the layer mask,Désactiver l’effet du masque de calque,,ألغِ تأثير قناع الطبقة
Dismiss the selection,Annuler la sélection,Die Auswahl verwerfen,ألغِ التحديد
Displace,Déplacer,,أزِح
Displace...,,,أزِح...
Display,Affichage,Anzeige,العرض
Display Navigation,Afficher la navigation,Ansichtsnavigation,اعرض الإبحار
Display Filters...,Filtres d’affichage…,Ansichtsfilter …,مرشحات العرض...
Display Rendering Intent,Mode de rendu de l’affichage,Darstellungsziel,توزيع الألوان على الشاشة:
Display information about this image,Affiche des informations sur cette image,Bildinformationen anzeigen,اعرض معلومات عن هذه الصورة
Display rendering intent is absolute colorimetric,Le mode de rendu de l’affichage est colorimétrique absolu,Darstellungsziel ist absolut farbmetrisch,توزيع الألوان على الشاشة:
Display rendering intent is perceptual,Le mode de rendu de l’affichage est perceptuel,Darstellungsziel ist wahrnehmungsgemäß,توزيع الألوان على الشاشة:
Display rendering intent is relative colorimetric,Le mode de rendu de l’affichage est colorimétrique relatif,Darstellungsziel ist relativ farbmetrisch,توزيع الألوان على الشاشة:
Display rendering intent is saturation,Le mode de rendu de l’affichage est saturation,Darstellungsziel ist sättigungserhaltend,توزيع الألوان على الشاشة:
Display the image's color sample points,Afficher les points d’échantillonnage de couleur sur l’image,Die Prüfpunkte des Bildes anzeigen,أظهر نقاط عينات لون الصورة
Display the image's grid,Afficher la grille de l’image,Das Bildraster anzeigen,أظهر شبكة الصورة
Display the image's guides,Afficher les guides de l’image,Die Hilfslinien des Bildes anzeigen,اعرض أدلّة الصورة
Display the selection outline,Afficher le contour de la sélection,Umriss der Auswahl anzeigen,اعرض الخطوط الخارجية للتحديد
"Displaying [%0.4f, %0.4f]","Affichage [%0.4f, %0.4f]","[%0.4f, %0.4f] wird angezeigt",يعرض [‏%I0.4f، ‏%I0.4f]
Dissolve,Dissoudre,Vernichten,إذابة
Distance Map...,,,خريطة المسافات...
Distance metric,Métrique de distance,Abstandsmetrik,المسافة:
Distance of scattering,Distance de dispersion,Abstand der Streuung,مسافة البعثرة
Distance over which strokes fade out,Distance d’estompement des coups de brosses,"Entfernung, über die Pinselstriche verblassen",المسافة التي ستُبهت الضربات عبرها
Distance:,Distance :,Abstand:,المسافة:
Distance: %0.4f,Distance : %0.4f,Abstand: %0.4f,المسافة: %I0.4f
Distribute,Répartition,Verteilen,وزّع
Distribute bottoms of targets,Répartir en bas les cibles,,وزّع قيعان الأهداف
Distribute horizontal centers of targets,Répartir horizontalement les centres des cibles,,وزّع المراكز الأفقية للأهداف
Distribute left edges of targets,Répartir à gauche les bords des cibles,,وزّع الحافة اليسرى للأهداف
Distribute right edges of targets,Répartir à droite les bords des cibles,,وزّع الحافة اليمنى للأهداف
Distribute targets evenly in the horizontal,Distribuer les cibles de façon égale dans l’horizontale,,وزّع الأهداف بالتساوي أفقيًا
Distribute targets evenly in the vertical,Distribuer les cibles de façon égale dans la verticale,,وزّع الأهداف بالتساوي رأسيًا
Distribute top edges of targets,Répartir en haut les bords des cibles,,وزّع الحافة العليا للأهداف
Distribute vertical centers of targets,Répartir verticalement les centres des cibles,,وزّع المراكز الرأسية للأهداف
Dither...,Tramage…,Dithern …,أرجِف...
Dither channels/masks:,Tramage des canaux/masques :,Dithering für Kanäle/Masken:,احذف القناة
Dither images when promoting to floating point,,,حوّل الصورة إلى دقة عدد عشري من 16 بتة
Dither layers:,Tramage des calques :,Dithering für Ebenen:,أفلت الطبقات
Dither text layers:,Tramage des calques de texte :,Dithering für Textebenen:,غيّر حجم الطبقات النصية
Dithering,Tramage,Dithering,الإرجاف
Dithering text layers will make them uneditable,Le tramage des calques de texte les rendra non modifiables.,Das Dithering von Textebenen macht diese unbearbeitbar,إرجاف طبقات النص سيجعلها غير قابلة للتحرير
Divide,Diviser,Division,قسمة
Divide (l),Diviser (a),Dividieren (v),قسمة
Do not load any fonts,Ne charger aucune police,Keine Schriften laden,لا تحمل أي خطوط
"Do not load brushes, gradients, patterns, ...","Ne pas charger les brosses, dégradés, palettes, motifs…","Keine Pinsel, Muster, Farbverläufe usw. laden …",لا تحمل الفرش، والتدرجات، والأنماط،‌ ...
Do not show a splash screen,Ne pas afficher d’écran de démarrage,Kein Startfenster anzeigen,لا تظهر شاشة بداية
Do not use shared memory between GIMP and plug-ins,Ne pas utiliser la mémoire partagée entre GIMP et ses greffons,Keinen gemeinsam genutzten Speicher zwischen GIMP und den Plugins verwenden,لا تستخدم ذاكرة مشتركة بين جمب والامتدادات
Do not use special CPU acceleration functions,Ne pas utiliser les accélérations propres aux CPU,Keine speziellen Prozessorbeschleunigungen verwenden,لا تستخدم تسارع وظائف المعالج الخاصة
Do you really want to remove all keyboard shortcuts from all menus?,Voulez-vous vraiment enlever tous les raccourcis clavier de tous les menus ?,Wollen Sie wirklich alle Tastenkombinationen von allen Menüs entfernen?,هل تريد حقا حذف جميع اختصارات لوحة المفاتيح من جميع القوائم؟
Do you really want to reset all filters to default values?,Voulez-vous vraiment réinitialiser tous les filtres à leurs valeurs par défaut ?,Möchten Sie wirklich alle Filter auf Ihre Standardeinstellungen zurücksetzen?,هل تريد حقا تصفير جميع المرشحات إلى القيم المبدئية؟
Do you really want to reset all preferences to default values?,Voulez-vous vraiment réinitialiser toutes les préférences à leurs valeurs par défaut ?,Möchten Sie wirklich alle Einstellungen auf die Standardwerte zurücksetzen?,هل تريد حقا إعادة ضبط كل التفضيلات إلى قيمها المبدئية؟
Do you really want to reset all tool options to default values?,Voulez-vous vraiment réinitialiser toutes les options de l’outil à ses valeurs par défaut ?,Möchten Sie wirklich alle Werkzeugeinstellungen auf Vorgabewerte zurüchsetzen?,هل تريد حقا تصفير جميع خيارات الأدوات إلى القيم المبدئية؟
Do you want to replace it with the image you are saving?,Voulez-vous le remplacer par l’image que vous enregistrez ?,Möchten Sie diese durch das zu speichernde Bild ersetzen?,هل تريد استبداله بالصورة التي تحفظها؟
Do you want to save the image using this name anyway?,Souhaitez-vous quand même enregistrer l’image sous ce nom ?,Möchten Sie zum Speichern des Bildes diesen Namen trotzdem verwenden?,هل تريد حفظ الصورة باستخدام هذا الاسم على كل حال؟
Dock,Groupe de fenêtres,Dock,رصيف
Dockable,Ancrable,Andockbar,قابل للترصيف
Document History,Historique des documents,Dokumentenindex,تأريخ المستند
Document History,Historique des documents,Dokumentenindex,تاريخ المستند
Documents,Documents,Dokumente,المستندات
Documents Menu,Menu des documents,Dokumentenmenü,قائمة المستندات
Dodge / Burn,Éclaircir / Assombrir,Abwedeln / Nachbelichten,تمويه \ حرق
Dodge,Éclaircir,Abwedeln,دودج
Dodge (l),Éclaircir (a),Abwedeln (v),دودج
Dodge / Burn,Éclaircir / Assombrir,Abwedeln / Nachbelichten,تمويه \ حرق
Dodge / Burn Tool: Selectively lighten or darken using a brush,Outil d’éclaircissement et d’assombrissement : noircit ou éclaircit sélectivement en utilisant une brosse,Abwedeln / Nachbelichten: Mit einem Pinsel aufhellen oder abdunkeln,أداة التمويه والحرق: إضاءة وإعتمام انتقائي باستخدام فرشاة
Dodge/Burn,Éclaircir/assombrir,Abwedeln/Nachbelichten,تمويه\حرق
Downloaded %s of image data,Chargement de %s des données d’image,%s an Bilddaten wurden heruntergeladen,نزّل %s من بيانات الصورة
Downloading image (%s of %s),Chargement de l’image (%s de %s),Bild wird heruntergeladen (%s von %s),يُنزّل الصورة (%s من %s)
Drag Anchor,Tirer une ancre,Anker ziehen,اسحب المربط
Drag Anchors,Tirer des ancres,Anker ziehen,اسحب المرابط
Drag Curve,Tirer la courbe,Kurve ziehen,اسحب المنحنى
Drag Handle,Tirer une poignée,Marker ziehen,اسحب المناول
Drag Path,Tirer le chemin,Pfad ziehen,اسحب المسار
Drag to an XDS enabled file-manager to save the image.,Glisser vers un gestionnaire de fichier compatible XDS pour enregistrer l’image,"Ziehen Sie das Bild auf einen Datei-Manager mit XDS-Funktion, um es zu speichern.",اسحب إلى مدير ملفات يدعم XDS لحفظ الصورة.
Drag: move,Tirer : déplacer,Ziehen: Verschieben,سحب: انقل
Draw Mode,Mode de marquage,Malmodus,نمط الرسم
Draw a border around the active layer,Tracer une bordure autour du calque actif,Einen Rahmen um die aktive Ebene zeichnen,ارسم حدا حول الطبقة النشطة
Draw background,Marquer l’arrière-plan,Hintergrund zeichnen,ارسم الخلفية
Draw foreground,Marquer le premier plan,Vordergrund zeichnen,ارسم المقدمة
Draw mask,Dessiner le masque,Maske zeichnen,قناع الرسم
Draw the selected region's mask,Tracer le masque de la région sélectionnée,Maske des ausgewählten Bereiches zeichnen,ارسم قناه المنطقة المحددة
Draw unknown,Marquer l’inconnu,Unbekannte zeichnen,ارسم غير المعروف
Drawable,Objet graphique,Zeichenfläche,عنصر رسم
Drop New Layer,Déposer un nouveau calque,Neue Ebene ablegen,أفلت طبقة جديدة
Drop New Path,Déposer un nouveau chemin,Neuen Pfad ablegen,أفلت مسارا جديدا
Drop color to layer,Déposer une couleur sur le calque,Farbe in Ebenen ablegen,أفلت اللون على الطبقة
Drop image files here to open them,Déposer les fichiers d’images ici pour les ouvrir,"Ziehen Sie Bilddateien hierher, um sie zu öffnen",ألق ملفات الصور هنا لفتحها
Drop layers,Déposer les calques,Ebenen ablegen,أفلت الطبقات
Drop pattern to layer,Déposer un motif sur le calque,Muster in Ebene ablegen,أفلت النمط على الطبقة
Dropped Buffer,Presse-papiers déposé,Importierte Ablage,البراح المُفلت
"Due to lack of any fonts, text functionality is not available.","À cause de l’absence de polices de caractères, la fonction texte n’est pas disponible.","Die Textfunktion ist nicht verfügbar, weil keine Schriften vorhanden sind.",نظرا لعدم توفر أي خط؛ وظيفية النص لن تكون متاحة.
Duplicate this MyPaint brush,Dupliquer cette brosse MyPaint,Diesen MyPaint-Pinsel duplizieren,كرر فرشاة ماي پينت هذه
Duplicate this brush,Dupliquer cette brosse,Diesen Pinsel duplizieren,كرر هذه الفرشاة
Duplicate this dynamics,Dupliquer cette dynamique,Diese Zeichendynamik duplizieren,كرّر هذه الحركيات
Duplicate this gradient,Duplique ce dégradé,Farbverlauf duplizieren,كرر هذا التدرج
Duplicate this palette,Dupliquer cette palette,Diese Palette duplizieren,كرّر لوح الألوان هذا
Duplicate this path,Dupliquer le chemin,,كرّر هذا المسار
Duplicate this pattern,Dupliquer le motif,Dieses Muster duplizieren,كرّر هذا النمط
Duplicate this template,Dupliquer le modèle sélectionné,Diese Vorlage duplizieren,كرّر هذا القالب
Duplicate this tool preset,Dupliquer ce préréglage d’outil,Diese Werkzeug-Voreinstellung duplizieren,كرّر محفوظة الخيارات هذه
Dynamic,Dynamique,Dynamisch,حركي
Dynamics,Dynamique de la brosse,Zeichendynamiken,الحركيات
Dynamics Folders,Dossiers des dynamiques de brosse,Ordner mit Dynamiken,مجلدات الحركيات
Dynamics Options,,,خيارات الحركيات
Edit Tool Preset,Modifier le préréglage d’outil,Werkzeug-Voreinstellungen bearbeiten,حرّر محفوظة الخيارات
Export Path...,Exporter le chemin…,,صدّر المسار...
Exposure...,Exposition…,Belichtung …,التعرض...
Extra Small,Très petite,Sehr klein,صغير جدا
Edge,Bord,,حافة
Edge Behavior,Comportement sur les bords,Kantenverhalten,سلوك الحافة
Edge-Detect,Détection de bord,Kanten finden,اكتشاف الحافة
Edit,Modifier,Bearbeiten,حرّر
Edit Active Brush,Modifier la brosse active,Aktiven Pinsel bearbeiten,حرّر الفرشاة النشطة
Edit Active Dynamics,Modifier la dynamique active,Aktive Zeichendynamik bearbeiten,حرّر الحركيات النشطة
Edit Active Gradient,Modifier le dégradé actif,Aktiven Farbverlauf bearbeiten,حرّر التدرجات النشطة
Edit Active Palette,Modifier la palette active,Aktive Palette bearbeiten,حرّر لوحة الألوان النشطة
Edit Active Tool Preset,Modifier le préréglage de l’outil actif,Aktive Werkzeug-Voreinstellung bearbeiten,حرّر محفوظة الخيارات النشطة
Edit Channel Attributes,Modification des attributs du canal,Die Kanaleigenschaften bearbeiten,حرر صفات القناة
Edit Channel Color,Modification du canal de couleur,Kanalfarbe bearbeiten,حرر لون القناة
Edit Color Palette Entry,Modifier la couleur choisie dans la palette,Palettenfarbeintrag bearbeiten,حرّر مدخلة لوحة الألوان
Edit Colormap Entry,Modification de l’entrée de la palette des couleurs,Paletteneintrag bearbeiten,حرّر مدخل مخطط الألوان
Edit Layer Attributes,Modifier les attributs du calque,Ebeneneigenschaften bearbeiten,حرّر صفات الطبقة
Edit Mode,Mode d’édition,Bearbeitungsmodus,حرّر النمط
Edit MyPaint brush,Modifier cette brosse Mypaint,MyPaint-Pinsel bearbeiten,حرّر فرشاة ماي پينت
Edit Path,Modifier le chemin,Pfad bearbeiten,حرّر فرشاة ماي پينت
