(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
"If you adjust this scale, it updates in the applet.  If you adjust the scale in the applet, it updates here","Si vous modifiez cette échelle, l’applet est mis à jour. Si vous la modifiez dans l’applet, elle est mise à jour ici","Wenn Sie diese Skala ändern, aktualisiert sie sich im Applet. Wenn Sie die Skala im Applet ändern, aktualisiert sie sich hier.",إذا قمت بضبط هذا التحجيم، فإنه يتم تحديثه في البريمج. إذا قمت بضبط التحجيم في البريمج، فإنه يتم تحديثه هنا
"If you continue, the combination will be reassigned to %(new)s.","Si vous continuez, cette combinaison sera réassignée à %(new)s.","Wenn Sie fortfahren, wird die Tastenkombination ab jetzt für %(new)s benutzt.",إذا تابعت، فسيتم إعادة تعيين التركيبة إلى %(new)s.
"If you suspect the source of the crash is a local extension, applet or desklet, you can disable downloaded add-ons using the checkbox below.","Si vous pensez que la source du plantage est une extension locale, un applet ou un desklet local, vous pouvez désactiver les modules complémentaires téléchargés à l’aide de la case à cocher ci-dessous.","Wenn Sie vermuten, dass die Ursache des Absturzes eine lokale Erweiterung, ein Applet oder ein Desklet ist, können Sie heruntergeladene Zusatzmodule über das Auswahlfeld unten deaktivieren.",إذا كنت تشك في أن مصدر التعطل هو امتداد محلي أو بريمج أو تطبيق مكتبي، فيمكنك تعطيل الإضافات التي تم تنزيلها باستخدام مربع الاختيار أدناه.
Ignore fast duplicate keypresses,Ignorer les appuis de touches rapides et identiques,Schnelle doppelte Tastenanschläge ignorieren,تجاهل الضغط السريع لمفاتيح التكرار
Ignore transient notifications,Ignorer les notifications transitoires,Vorübergehende Benachrichtigungen ignorieren,تجاهل الإشعارات العابرة
Images,Images,Bilder,صور
Import from a file,Importer depuis un fichier,Aus einer Datei importieren,استيراد من ملف
In progress,En cours,In Bearbeitung,جارية
Increase keyboard backlight level,Augmenter le rétroéclairage du clavier,Tastaturbeleuchtung erhöhen,زيادة مستوى الإضاءة الخلفية لوحة المفاتيح
Increase opacity,Augmenter l'opacité,Deckkraft erhöhen,زيادة التعتيم
Increase or decrease this spinner value to make the applet wider or narrower in the panel,Augmentez ou diminuez cette valeur pour élargir ou rétrécir l’applet dans le panneau,Durch Vergrößerung oder Verkleinerung des Wertes wird die Anzeige in der Leiste breiter oder schmaler.,زيادة أو إنقاص قيمة spinner هذا لجعل البريمج أوسع أو أضيق في الشريط
Increase screen brightness,Augmenter la luminosité de l'écran,Bildschirmhelligkeit erhöhen,زيادة سطوع الشاشة
Increase text size,Augmenter la taille du texte,Schrift vergrößern,زيادة حجم النص
Info,Info,Information,معلومات
Info #1: You are seeing this info because the first option is selected in the combo box above. Try selecting different options to see different information.,"Présentation no 1 : ces renseignements sont présentés, car la première option est choisie dans la boîte combinée ci-dessus. Essayez de choisir différentes options pour voir des renseignements différents.","Info 1: Sie sehen diese Info, da die erste Einstellung im oberen Auswahlfeld gewählt ist. Versuchen Sie verschiedene Optionen, um unterschiedliche Informationen zu sehen.",معلومة رقم #1: أنت تشاهد هذه المعلومات لأنه تم تحديد الخيار الأول في مربع التحرير والسرد أعلاه. حاول تحديد خيارات مختلفة لمشاهدة معلومات مختلفة.
Info #2: You are seeing different text now because you selected the second option in the combo box above.,"Présentation no 2 : un texte différent est présenté, car vous avez choisi la seconde option dans la boîte combinée ci-dessus.","Info 2: Sie sehen jetzt einen anderen Text, da Sie die zweite Einstellung im oberen Auswahlfeld gewählt haben.",معلومة رقم #2: أنت ترى الآن نصًا مختلفًا لأنك حددت الخيار الثاني في مربع التحرير والسرد أعلاه.
Inhibit Applet,Applet de désactivation,Energiesparregler,تعطيل البريمج
Inhibit applet,Applet de désactivation,Energiesparregler,تعطيل البريمج
Initial delay,Délai initial,Anfängliche Verzögerung,التأخير المبدئي
Initializing,Initialisation,Initialisierungsvorgang,التهئية جارية
Input,Entrée,Eingang,الإدخال
Input Method,Méthode de saisie,Eingabemethode,أسلوب الإدخال
Input device,Entrée audio,Eingabegerät,جهاز الإدخال
Input level,Niveau d'entrée,Eingangspegel,مستوى الإدخال
Inserting a device,Insertion d'un périphérique,Ein Gerät wird eingesteckt,إدراج جهاز
Install,Installer,Installieren,تثبيت
Installed,Installé(e),Installiert,مثبت
Installed applets,Applets installés,Installierte Applets,البريمجات المثبتة
Installed desklets,Desklets installées,Installierte Desklets,التطبيقات المكتبية المثبتة
Installed extensions,Extensions installées,Installierte Erweiterungen,الملحقات المثبتة
Installing %s,Installation de %s,%s wird installiert,تثبيت %s
Intelligently hide panel,Disparition intelligente du panneau,Leiste intelligent ausblenden,إخفاء ذكي للشريط
Inter-monitor,Inter-écran,Bildschirmwechsel,بين شاشة العرض
Inter-workspace,Inter-espace de travail,Arbeitsflächenverschiebung,بين مساحة العمل
Internal Error,Erreur interne,Interner Fehler,خطأ داخلي
Internet,Internet,Internet,الانترنت
Internet connectivity,Connectivité Internet,Internetverbindung,الاتصال بالانترنت
Invalid overview options: Incorrect number of corners,"Les options d’aperçu sont invalides, le nombre de coins est incorrect",Ungültige Übersichtsoptionen: falsche Eckenanzahl,خيارات نظرة عامة غير صالحة: عدد الزوايا غير صحيح
Invalid username,Le nom d’utilisateur est invalide,Ungültiger Benutzername,اسم المستخدم غير صالح
Item,Élément,Eintrag,العنصر
JSON files,Fichiers JSON,JSON-Dateien,ملفات JSON
Jump to position when clicking in a trough,Sauter à la position après un clic dans l'espace vide,"Zur Position springen, auf die in der Bildlaufleiste geklickt wird",القفز إلى الموضع عند النقر في الحوض الصغير
Keep Printing,Continuer l'impression,Drucken fortsetzen,واصل الطباعة
Keep cursor centered,Garder le curseur centré,Mauszeiger zentriert halten,حافظ على توسيط المؤشر
Key repeat,Répétition de touche,Tastenwiederholung,تكرار المفتاح
Keyboard,Clavier,Tastatur,لوحة المفاتيح
Keyboard Settings,Paramètres du clavier,Tastatureinstellungen,إعدادات لوحة المفاتيح
Keyboard backlight,Rétro-éclairage du clavier,Tastaturbeleuchtung,الإضاءة الخلفية للوحة المفاتيح
Keyboard bindings,Combinaisons de touches,Tastenkombinationen,روابط لوحة المفاتيح
Keyboard indicators,Indicateurs du clavier,Tastaturanzeigen,مؤشرات لوحة المفاتيح
Keyboard layout,Disposition du clavier,Tastaturbelegung,تخطيط لوحة المفاتيح
Keyboard position,Position du clavier,Tastaturposition,موضع لوحة المفاتيح
Keyboard shortcut to open and close the menu,Raccourci clavier pour ouvrir et fermer le menu,Tastenkombinationen zum Öffnen und Schließen des Menüs,اختصار لوحة المفاتيح لفتح وإغلاق القائمة
Keyboard shortcuts,Raccourcis clavier,Tastenkombinationen,اختصارات لوحة المفاتيح
Keyboard size,Taille du clavier,Tastaturgröße,حجم لوحة المفاتيح
Languages,Langues,Sprachen,اللغات
Laptop battery,Batterie d’ordinateur portable,Laptop-Akku,بطارية الحاسوب المحمول
Large,Grand,Groß,كبير
Large Text,Texte large,Großer Text,نص كبير
Large text,Grand texte,Großer Text,النص الكبير
Larger,Plus grand,Größer,أكبر
Largest,La plus grande,Größte,الأكبر
Launch,Lancer,Ausführen,أطلِق
Launch Driver Manager,Lancer le gestionnaire de pilotes,Treiberverwaltung starten,شغل مدير التعريفات
Launch applications from the panel,Lancez des applications à partir du panneau,Anwendungen aus der Leiste starten,إطلاق التطبيقات من اللوحة
Launch calculator,Démarrer la calculatrice,Taschenrechner starten,إطلاق الآلة الحاسبة
Launch email client,Démarrer le client de courriel,E-Mail-Programm öffnen,إطلاق عميل البريد الإلكتروني
Launch help browser,Démarrer le navigateur d'aide,Hilfe-Browser starten,إطلاق متصفح المساعدة
Launch in Terminal?,Lancer dans Terminal ?,Im Terminal ausführen?,شَغِّل في الطرفية؟
Launch media player,Démarrer le lecteur multimédia,Medienspieler öffnen,إطلاق مشغل الوسائط
Launch new app instance,Lancer une nouvelle instance de l'appli,Neue Anwendungsinstanz starten,أطلق مثيل التطبيق الجديد
Launch player,Lancer le lecteur,Medienspieler starten,إطلاق المشغل
Launch terminal,Lancer un terminal,Terminal starten,إطلاق المحطة الطرفية
Launch web browser,Démarrer le navigateur Web,Webbrowser starten,إطلاق متصفح الويب
Launcher Properties,Propriétés du lanceur,Startereigenschaften,خصائص المشغل
Launcher animation,Animation de lancement,Starteranimation,حركة المُطلِق
Launcher desklet,Lanceur d'applications,Starterdesklet,مُطلِق تطبيق مكتبي
Launchers,Lanceurs,Starter,منصات الإطلاق
Layout,Disposition,Ansicht,التنسيق
Layout and content,Disposition et contenu,Anordnung und Inhalt,التخطيط والمحتوى
Layouts,Agencements,Tastaturbelegungen,التخطيطات
Leave it,Le laisser,Nicht verändern,اتركه
Leave the session,Fermer la session,Sitzung verlassen,غادر الجلسة
Leaving Cinnamon,Fermeture de Cinnamon,Cinnamon wird verlassen,مغادرة سينامُن
Left,Gauche,Links,يسار
Left Zone,Zone de gauche,linker Bereich,اليسار
Left click action,Action du clic gauche,Linksklick-Aktion,إجراء النقر الأيسر
Left click to minimize window,Cliquer pour minimiser la fenêtre,Linksklick zum Minimieren des Fensters,انقر يسارا لتصغير النافذة
Left half,Moitié gauche,Linke Hälfte,النصف الأيسر
Left handed (mouse buttons inverted),Gaucher (boutons de souris inversés),Linkshänder (Maustasten umgekehrt),اليد اليسرى (أزرار الفأرة المقلوبة)
Lens mode,Mode loupe,Bildschirmlupenmodus,وضع العدسة
Lens shape,Forme de la loupe,Bildschirmlupenform,شكل العدسة
Limit song information to,Limiter les informations de la chanson à,Liedinformationen beschränken auf,حدود معلومات الأغنية
Linux Kernel,Noyau Linux,Linux-Kernel,نواة لينكس
Loaded,Chargée,Geladen,محمّل
Loaded successfully,Chargement réussi,Erfolgreich geladen,تم التحميل بنجاح
Lock Screen,Verrouiller l'écran,Bildschirm sperren,قفل الشاشة
Lock immediately,Verrouiller immédiatement,Sofort sperren,القفل فورًا
Lock screen,Verrouiller l'écran,Bildschirm sperren,قفل الشاشة
Lock settings,Verrouillage,Sperreinstellungen,إعدادات القفل
Lock the computer after the screensaver starts,Verrouiller l'ordinateur après le démarrage de l’économiseur d’écran,Den Rechner nach Start des Bildschirmschoners sperren,تأمين الكمبيوتر بعد بدء تشغيل شاشة التوقف
Lock the computer when put to sleep,Verrouiller l'ordinateur lorsqu'il est en veille,"Den Rechner sperren, wenn er in den Ruhezustand geht",تأمين الكمبيوتر عند وضعه علي السكون
