English Term,Arabic Term,Description
"Armed Forces of the State","القوات المسلحة للدولة","(كما تشير إلى قوة دفاع الاتحاد) تعني أي أو كل عنصر من عناصر القوات العسكرية التابعة للدولة والمشار إليها في المادة (120) من دستور دولة الإمارات على سبيل المثال لا الحصر الجيش والقوات الجوية والبحرية."
"Telemetry, Tracking and Command","القياس عن بعد والتتبع والتحكم","يعني مجمل المنشآت والموظفين اللازمين للسيطرة على النظام الساتلي والحفاظ على سلامة عمليات تشغيله ضمن المدارات المخصصة له."
"Submarine Cable/maritime cable","الكابلات البحرية","هو كابل يوضع في قاع البحر بين المحطات الأرضية لنقل إشارات الاتصالات عبر امتدادات المحيط، ويتضمن أي جهاز متصل بهذا الكابل، إذا تم استخدام الجهاز أو ربط الخط بهذا الكابل."
"Detect And Avoid","الكشف والتجنب","نظام وتكنولوجيا تسمحان للمركبات الجوية غير المأهولة والطائرات بدون طيار بدخول المجال الجوي المدني بأمان، وتجنب الاصطدام بالطائرات الأخرى والمباني وخطوط الطاقة والطيور والعقبات الأخرى."
"American Standard Code for Information Interchange","الكود القياسي الأمريكي لتبادل المعلومات (ASCII)","تعني المقياس الأمريكي لرمز تبادل المعلومات، وهو نظام ترميز مبني على أساس الأبجدية الإنجليزية، ويتمثل في رمز رقمي شائع بين أجهزة الكمبيوتر والأجهزة الأخرى التي تتعامل مع النصوص. رمز الآسكي هو تمثيل رقمي لحرف مثل ""أ"" أو ""@"" وهو الصيغة التي يستخدمها نظام اسم النطاق."
"Suffix","اللاحقة","تعني الدلالة أو الدلالات التي تظهر في نهاية اسم النطاق."
"Executive Order","اللائحة التنفيذية","اللائحة التنفيذية الصادرة وفقاً لأحكام القانون."
"General Data Protection Regulation","اللائحة العامة لحماية البيانات (GDPR)","هي لائحة في قانون الاتحاد الأوروبي بشأن حماية البيانات والخصوصية في الاتحاد الأوروبي (EU) والمنطقة الاقتصادية الأوروبية (EEA). كما تتناول نقل البيانات الشخصية خارج مناطق الاتحاد الأوروبي والمنطقة الاقتصادية الأوروبية."
"IoT Advisory Committee","اللجنة الاستشارية لإنترنت الأشياء","تعني اللجنة الاستشارية العليا التي تترأسها الهيئة والتي تم تشكيلها لتنظيم إنترنت الأشياء داخل الدولة وتتألف من ممثلين من مختلف الوزارات والهيئات التنظيمية وجهات من القطاع العام وخبراء في مجال إنترنت الأشياء."
"Supreme Committee","اللجنة العليا","يقصد بها اللجنة المشكلة للإشراف على قطاع الاتصالات وفقاً لأحكام المادة (2) من المرسوم بقانون اتحادي رقم (3) لسنة 2003 بشأن تنظيم قطاع الاتصالات."
"Data Controller","المتحكم بالبيانات","يعني أي شخص يقرر وحده أو بالاشتراك مع أشخاص آخرين الأغراض المنشودة من معالجة البيانات وسبل معالجتها."
"Data Centre Controller","المتحكم بمركز البيانات","يعني الشخص الذي يمتلك أو يتحكم أو يدير مركز بيانات في دولة الإمارات العربية المتحدة، ويستخدم مصطلح المتحكم بمركز البيانات بشكل واسع ليشمل وكلاء المتحكم بمركز البيانات، كما يستخدم بشكل واسع ليشمل المتحكم بمركز بيانات المرخص له."
"Licensee-Data Centre Controller","المتحكم بمركز بيانات المرخص له","المرخص له الذي يملك، أو يتحكم أو يدير مركز بيانات في دولة الامارات العربية المتحدة، ويمتد مصطلح المتحكم بمركز بيانات المرخص له ليشمل وكلاء المرخص له المعني."
"Customer","المتعامل","أي شخص أجرى ترتيبات مع المرخص لهم لتلقي الخدمات منهم بموجب الشروط والأحكام العامة الخاصة بهم."
"Content","المحتوى","يقصد به أي معلومات تشمل البث السمعي أو المرئي أو البث السمعي والمرئي أو العروض الحية أو المسجلة سابقاً أو الأفلام أو البرامج الوثائقية أو مسلسلات الدراما أو المواد الإعلانية التي يتم بثها أو ترحيلها أو توزيعها."
"Blocked Content","المحتوى المحجوب","يقصد به محتوى الإنترنت الذي تم حجب النفاذ إليه من قبل المرخص لهم."
